Body Shape,Clothing Category,Clothing Type,Occasion
Apple,Tops,Wrap top,Party
Inverted Triangle,Bottoms,Cargo pants,Party
Apple,Indian Ethnic Wear,Anarkali suit,Casual
Hourglass,Tops,Tie-front shirt,Party
Hourglass,Dresses,Slit maxi dress,Formal
Hourglass,Outerwear,Peplum jacket,Casual
Apple,Outerwear,Waterfall cardigan,Formal
Rectangle,Bottoms,Culottes,Casual
Apple,Outerwear,Belted jacket,Formal
Hourglass,Outerwear,Peplum jacket,Workwear
Inverted Triangle,Bottoms,Ruffled hem skirt,Party
Pear,Indian Ethnic Wear,Straight-cut kurta,Streetwear
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Casual
Inverted Triangle,Bottoms,Bias-cut midi skirt,Streetwear
Rectangle,Indian Ethnic Wear,Sharara suit,Workwear
Pear,Dresses,Ruched dress,Streetwear
Inverted Triangle,Outerwear,Waterfall coat,Casual
Inverted Triangle,Dresses,Tea-length dress,Workwear
Pear,Tops,Tunic with embellishments,Casual
Apple,Indian Ethnic Wear,A-line kurta,Workwear
Rectangle,Indian Ethnic Wear,Angrakha suit,Casual
Inverted Triangle,Outerwear,Waterfall coat,Casual
Rectangle,Bottoms,Paperbag trousers,Formal
Rectangle,Dresses,Wrap dress,Casual
Apple,Outerwear,Belted jacket,Workwear
Pear,Bottoms,Flared skirt,Workwear
Apple,Bottoms,Flared trousers,Streetwear
Rectangle,Tops,Ruffled blouse,Workwear
Rectangle,Outerwear,Leather jacket,Workwear
Hourglass,Tops,Sweetheart neckline top,Casual
Hourglass,Bottoms,Fitted trousers,Streetwear
Rectangle,Bottoms,Cargo pants,Workwear
Apple,Tops,Wrap top,Formal
Apple,Tops,Peplum blouse,Casual
Rectangle,Bottoms,Bermuda shorts,Streetwear
Hourglass,Outerwear,Belted coat,Formal
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Streetwear
Rectangle,Outerwear,Bomber jacket,Party
Pear,Dresses,Fit-and-flare dress,Casual
Hourglass,Indian Ethnic Wear,Saree with cinched waist,Workwear
Inverted Triangle,Dresses,Tunic dress,Party
Rectangle,Tops,Cold-shoulder top,Workwear
Inverted Triangle,Tops,Tie-front blouse,Streetwear
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Streetwear
Pear,Dresses,Fit-and-flare dress,Streetwear
Inverted Triangle,Bottoms,Bias-cut midi skirt,Formal
Inverted Triangle,Dresses,Empire waist dress,Party
Hourglass,Bottoms,Fishtail skirt,Party
Apple,Dresses,Empire waist dress,Casual
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Workwear
Inverted Triangle,Outerwear,Straight-cut coat,Formal
Pear,Dresses,Empire waist dress,Streetwear
Rectangle,Tops,Smocked blouse,Casual
Hourglass,Outerwear,Peplum jacket,Casual
Hourglass,Outerwear,Fitted blazer,Streetwear
Rectangle,Outerwear,Structured blazer,Streetwear
Hourglass,Tops,Corset-style top,Casual
Rectangle,Dresses,Sheath dress,Formal
Inverted Triangle,Tops,Wrap top,Party
Hourglass,Bottoms,Fitted trousers,Streetwear
Pear,Dresses,Empire waist dress,Party
Hourglass,Tops,Bodysuit,Casual
Rectangle,Tops,Cold-shoulder top,Formal
Pear,Outerwear,Trench coat,Streetwear
Inverted Triangle,Outerwear,Waterfall coat,Streetwear
Inverted Triangle,Tops,Kimono sleeve top,Formal
Apple,Outerwear,A-line coat,Workwear
Hourglass,Tops,Wrap top,Streetwear
Inverted Triangle,Tops,Dolman sleeve blouse,Workwear
Hourglass,Outerwear,Belted coat,Workwear
Rectangle,Tops,Belted shirt,Party
Hourglass,Bottoms,Fishtail skirt,Party
Pear,Tops,Structured blazer,Party
Pear,Tops,Puffed sleeve top,Party
Rectangle,Dresses,Wrap dress,Workwear
Inverted Triangle,Tops,V-neck top,Workwear
Hourglass,Bottoms,Fitted trousers,Party
Rectangle,Dresses,Wrap dress,Formal
Inverted Triangle,Indian Ethnic Wear,A-line kurta,Party
Hourglass,Bottoms,Wide belt trousers,Workwear
Apple,Bottoms,Flared trousers,Formal
Apple,Bottoms,Flared trousers,Formal
Apple,Indian Ethnic Wear,Straight-cut salwar suit,Streetwear
Pear,Bottoms,Palazzo pants,Workwear
Pear,Dresses,High-low dress,Party
Inverted Triangle,Outerwear,Waterfall coat,Formal
Apple,Tops,Wrap top,Workwear
Rectangle,Tops,Asymmetrical top,Workwear
Pear,Bottoms,Pleated trousers,Party
Inverted Triangle,Tops,Ruched sleeve top,Casual
Inverted Triangle,Outerwear,Straight-cut coat,Party
Inverted Triangle,Bottoms,Cargo pants,Streetwear
Hourglass,Dresses,Wrap dress,Workwear
Inverted Triangle,Bottoms,Flared pants,Workwear
Hourglass,Bottoms,Fishtail skirt,Streetwear
Pear,Indian Ethnic Wear,Churidaar suit,Streetwear
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Formal
Inverted Triangle,Outerwear,Trench coat,Formal
Rectangle,Bottoms,Bermuda shorts,Casual
Hourglass,Dresses,Off-shoulder dress,Casual
Hourglass,Tops,Corset-style top,Streetwear
Rectangle,Outerwear,Leather jacket,Formal
Rectangle,Tops,Belted shirt,Workwear
Inverted Triangle,Dresses,Tunic dress,Streetwear
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Formal
Apple,Indian Ethnic Wear,Lehenga with subtle embroidery,Streetwear
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Party
Apple,Dresses,Shift dress,Streetwear
Inverted Triangle,Bottoms,A-line skirt,Workwear
Rectangle,Indian Ethnic Wear,Layered Anarkali,Streetwear
Rectangle,Bottoms,Skinny jeans,Party
Inverted Triangle,Outerwear,Waterfall coat,Streetwear
Hourglass,Bottoms,Wide belt trousers,Streetwear
Apple,Dresses,Shift dress,Streetwear
Hourglass,Outerwear,Faux fur coat,Party
Rectangle,Bottoms,Culottes,Formal
Apple,Indian Ethnic Wear,Lehenga with subtle embroidery,Formal
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Streetwear
Pear,Tops,Square-neck top,Workwear
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Formal
Inverted Triangle,Bottoms,Wide-leg trousers,Casual
Apple,Indian Ethnic Wear,A-line kurta,Workwear
Inverted Triangle,Bottoms,Flared pants,Workwear
Hourglass,Tops,Sweetheart neckline top,Party
Inverted Triangle,Tops,Tie-front blouse,Formal
Apple,Dresses,Wrap dress,Party
Apple,Dresses,Shift dress,Workwear
Rectangle,Bottoms,Paperbag trousers,Casual
Rectangle,Outerwear,Leather jacket,Casual
Rectangle,Bottoms,Cargo pants,Party
Apple,Bottoms,High-waisted pants,Formal
Rectangle,Bottoms,Pleated skirt,Workwear
Apple,Bottoms,High-waisted pants,Casual
Rectangle,Dresses,Peplum dress,Streetwear
Apple,Dresses,Shift dress,Streetwear
Pear,Outerwear,Cropped jacket,Streetwear
Rectangle,Bottoms,Bermuda shorts,Casual
Apple,Indian Ethnic Wear,Anarkali suit,Workwear
Hourglass,Bottoms,Fishtail skirt,Workwear
Hourglass,Outerwear,Long trench coat,Casual
Pear,Bottoms,Midi skirt,Formal
Apple,Tops,Empire waist top,Casual
Rectangle,Dresses,Layered maxi dress,Formal
Pear,Bottoms,Pleated trousers,Formal
Hourglass,Dresses,Off-shoulder dress,Streetwear
Pear,Tops,Puffed sleeve top,Formal
Hourglass,Bottoms,Tulip skirt,Workwear
Inverted Triangle,Outerwear,Waterfall coat,Streetwear
Rectangle,Bottoms,Culottes,Workwear
Apple,Indian Ethnic Wear,Floor-length Anarkali,Streetwear
Rectangle,Outerwear,Bomber jacket,Formal
Inverted Triangle,Outerwear,Cape coat,Workwear
Pear,Tops,Boat neck top,Streetwear
Apple,Dresses,Maxi dress,Party
Inverted Triangle,Bottoms,Bias-cut midi skirt,Party
Rectangle,Outerwear,Double-breasted coat,Casual
Pear,Dresses,Fit-and-flare dress,Streetwear
Hourglass,Bottoms,High-waisted jeans,Casual
Apple,Tops,Peplum blouse,Casual
Pear,Dresses,A-line dress,Streetwear
Apple,Dresses,Belted dress,Formal
Rectangle,Outerwear,Bomber jacket,Workwear
Pear,Bottoms,Wide-leg pants,Formal
Inverted Triangle,Dresses,A-line dress,Formal
Inverted Triangle,Tops,Ruched sleeve top,Formal
Rectangle,Indian Ethnic Wear,Saree with belts,Casual
Rectangle,Tops,Smocked blouse,Streetwear
Inverted Triangle,Outerwear,Waterfall coat,Workwear
Rectangle,Outerwear,Denim trench coat,Streetwear
Apple,Bottoms,Bootcut jeans,Streetwear
Hourglass,Bottoms,Tulip skirt,Party
Inverted Triangle,Outerwear,Duster coat,Workwear
Inverted Triangle,Indian Ethnic Wear,Lehenga with flared skirt,Formal
Rectangle,Bottoms,Cargo pants,Party
Rectangle,Bottoms,Bermuda shorts,Workwear
Apple,Bottoms,Straight-leg trousers,Party
Hourglass,Indian Ethnic Wear,Fitted Anarkali,Casual
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Workwear
Apple,Indian Ethnic Wear,Floor-length Anarkali,Party
Rectangle,Dresses,Layered maxi dress,Casual
Pear,Dresses,Layered dress,Casual
Inverted Triangle,Outerwear,Waterfall coat,Formal
Pear,Outerwear,Embellished blazer,Party
Inverted Triangle,Bottoms,Bias-cut midi skirt,Workwear
Hourglass,Bottoms,Pencil skirt,Casual
Hourglass,Bottoms,Pencil skirt,Casual
Inverted Triangle,Tops,Tie-front blouse,Workwear
Pear,Outerwear,Embellished blazer,Formal
Pear,Bottoms,Bootcut jeans,Party
Apple,Tops,V-neck blouse,Casual
Apple,Outerwear,A-line coat,Workwear
Inverted Triangle,Dresses,A-line dress,Party
Pear,Tops,Tunic with embellishments,Workwear
Inverted Triangle,Indian Ethnic Wear,Gown-style Anarkali,Casual
Rectangle,Dresses,Wrap dress,Casual
Hourglass,Outerwear,Long trench coat,Party
Apple,Outerwear,Draped coat,Workwear
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Workwear
Hourglass,Indian Ethnic Wear,Mermaid-cut lehenga,Workwear
Apple,Tops,Cowl neck top,Casual
Pear,Bottoms,Bootcut jeans,Party
Apple,Bottoms,Bootcut jeans,Casual
Pear,Bottoms,Palazzo pants,Workwear
Rectangle,Tops,Belted shirt,Party
Rectangle,Tops,Belted shirt,Streetwear
Apple,Dresses,A-line dress,Casual
Pear,Bottoms,Bootcut jeans,Formal
Inverted Triangle,Tops,Dolman sleeve blouse,Streetwear
Pear,Bottoms,Midi skirt,Party
Rectangle,Bottoms,Culottes,Casual
Rectangle,Bottoms,Paperbag trousers,Streetwear
Apple,Tops,Empire waist top,Workwear
Rectangle,Tops,Belted shirt,Party
Hourglass,Tops,Tie-front shirt,Casual
Hourglass,Indian Ethnic Wear,Straight-cut salwar kameez,Party
Hourglass,Tops,Sweetheart neckline top,Workwear
Pear,Indian Ethnic Wear,Straight-cut kurta,Party
Pear,Indian Ethnic Wear,Straight-cut kurta,Streetwear
Pear,Dresses,High-low dress,Workwear
Rectangle,Tops,Peplum top,Casual
Apple,Dresses,A-line dress,Workwear
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Streetwear
Hourglass,Dresses,Wrap dress,Streetwear
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Workwear
Hourglass,Bottoms,Fitted trousers,Formal
Rectangle,Outerwear,Cropped cardigan,Formal
Pear,Tops,Boat neck top,Casual
Inverted Triangle,Tops,Dolman sleeve blouse,Formal
Inverted Triangle,Dresses,Fit-and-flare dress,Formal
Apple,Dresses,A-line dress,Formal
Hourglass,Dresses,Mermaid gown,Workwear
Inverted Triangle,Bottoms,Bias-cut midi skirt,Workwear
Apple,Dresses,Wrap dress,Streetwear
Pear,Dresses,A-line dress,Streetwear
Hourglass,Bottoms,Fitted trousers,Workwear
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Party
Hourglass,Outerwear,Faux fur coat,Workwear
Apple,Outerwear,A-line coat,Casual
Rectangle,Dresses,Wrap dress,Workwear
Apple,Tops,V-neck blouse,Formal
Rectangle,Dresses,Ruched bodycon dress,Streetwear
Apple,Bottoms,Bootcut jeans,Party
Inverted Triangle,Tops,Dolman sleeve blouse,Party
Pear,Outerwear,Denim jacket,Party
Pear,Dresses,A-line dress,Party
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Streetwear
Inverted Triangle,Bottoms,Bias-cut midi skirt,Formal
Inverted Triangle,Bottoms,Bias-cut midi skirt,Party
Inverted Triangle,Outerwear,Unstructured cardigan,Streetwear
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Party
Rectangle,Bottoms,Cargo pants,Party
Inverted Triangle,Dresses,Slit dress,Streetwear
Rectangle,Dresses,Ruched bodycon dress,Party
Inverted Triangle,Outerwear,Duster coat,Streetwear
Pear,Bottoms,Pleated trousers,Workwear
Apple,Dresses,Empire waist dress,Streetwear
Apple,Outerwear,Draped coat,Streetwear
Inverted Triangle,Indian Ethnic Wear,Dhoti-style saree,Streetwear
Hourglass,Indian Ethnic Wear,Fitted Anarkali,Formal
Hourglass,Indian Ethnic Wear,Saree with cinched waist,Streetwear
Hourglass,Outerwear,Leather trench,Party
Inverted Triangle,Bottoms,Flared pants,Streetwear
Hourglass,Bottoms,Pencil skirt,Casual
Rectangle,Indian Ethnic Wear,Angrakha suit,Casual
Hourglass,Dresses,Off-shoulder dress,Workwear
Inverted Triangle,Dresses,Slit dress,Formal
Hourglass,Bottoms,Pencil skirt,Party
Hourglass,Tops,Sweetheart neckline top,Workwear
Pear,Outerwear,Cape-style coat,Party
Pear,Dresses,Ruched dress,Casual
Apple,Tops,Empire waist top,Party
Pear,Outerwear,Embellished blazer,Formal
Inverted Triangle,Tops,Ruched sleeve top,Streetwear
Hourglass,Tops,Tie-front shirt,Party
Hourglass,Dresses,Slit maxi dress,Streetwear
Apple,Tops,Peplum blouse,Casual
Apple,Outerwear,Open-front cardigan,Formal
Hourglass,Dresses,Bodycon dress,Party
Apple,Dresses,Maxi dress,Party
Inverted Triangle,Indian Ethnic Wear,Lehenga with flared skirt,Party
Apple,Indian Ethnic Wear,Saree with light fabric,Casual
Inverted Triangle,Tops,Wrap top,Workwear
Apple,Outerwear,Open-front cardigan,Workwear
Pear,Bottoms,Wide-leg pants,Casual
Apple,Indian Ethnic Wear,Lehenga with subtle embroidery,Streetwear
Rectangle,Bottoms,Bermuda shorts,Party
Apple,Bottoms,Straight-leg trousers,Workwear
Hourglass,Dresses,Off-shoulder dress,Streetwear
Rectangle,Dresses,Sheath dress,Casual
Pear,Tops,Boat neck top,Streetwear
Rectangle,Tops,Asymmetrical top,Workwear
Pear,Bottoms,Midi skirt,Party
Hourglass,Outerwear,Leather trench,Party
Apple,Bottoms,Straight-leg trousers,Streetwear
Rectangle,Outerwear,Cropped cardigan,Party
Rectangle,Outerwear,Cropped cardigan,Workwear
Hourglass,Bottoms,Tulip skirt,Formal
Rectangle,Outerwear,Leather jacket,Casual
Inverted Triangle,Outerwear,Cape coat,Formal
Apple,Tops,Flowy tunic,Party
Apple,Bottoms,Dark-wash jeans,Party
Apple,Indian Ethnic Wear,Lehenga with subtle embroidery,Party
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Workwear
Apple,Indian Ethnic Wear,Lehenga with subtle embroidery,Workwear
Rectangle,Indian Ethnic Wear,Saree with belts,Party
Hourglass,Bottoms,Wide belt trousers,Workwear
Rectangle,Bottoms,Pleated skirt,Streetwear
Apple,Indian Ethnic Wear,A-line kurta,Party
Inverted Triangle,Outerwear,Straight-cut coat,Streetwear
Inverted Triangle,Dresses,Tunic dress,Party
Rectangle,Indian Ethnic Wear,Angrakha suit,Workwear
Pear,Bottoms,Palazzo pants,Workwear
Hourglass,Dresses,Fit-and-flare dress,Workwear
Apple,Bottoms,Dark-wash jeans,Workwear
Inverted Triangle,Indian Ethnic Wear,A-line kurta,Streetwear
Apple,Indian Ethnic Wear,Straight-cut salwar suit,Workwear
Hourglass,Dresses,Mermaid gown,Party
Pear,Outerwear,Cape-style coat,Formal
Rectangle,Indian Ethnic Wear,Saree with belts,Streetwear
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Workwear
Rectangle,Dresses,Layered maxi dress,Workwear
Pear,Dresses,High-low dress,Streetwear
Rectangle,Bottoms,Cargo pants,Workwear
Inverted Triangle,Dresses,Fit-and-flare dress,Workwear
Inverted Triangle,Outerwear,Waterfall coat,Party
Inverted Triangle,Bottoms,A-line skirt,Party
Hourglass,Outerwear,Fitted blazer,Party
Pear,Tops,Structured blazer,Formal
Hourglass,Tops,Wrap top,Party
Rectangle,Tops,Ruffled blouse,Party
Rectangle,Outerwear,Double-breasted coat,Party
Pear,Outerwear,Trench coat,Casual
Pear,Bottoms,Wide-leg pants,Streetwear
Pear,Dresses,High-low dress,Workwear
Hourglass,Outerwear,Belted coat,Casual
Rectangle,Tops,Smocked blouse,Streetwear
Apple,Tops,Peplum blouse,Streetwear
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Party
Hourglass,Tops,Corset-style top,Workwear
Rectangle,Bottoms,Pleated skirt,Formal
Pear,Bottoms,Palazzo pants,Formal
Inverted Triangle,Outerwear,Waterfall coat,Party
Apple,Indian Ethnic Wear,Saree with light fabric,Formal
Pear,Indian Ethnic Wear,Straight-cut kurta,Party
Apple,Tops,V-neck blouse,Casual
Apple,Dresses,Belted dress,Formal
Pear,Indian Ethnic Wear,Saree with heavy pallu,Party
Hourglass,Dresses,Slit maxi dress,Workwear
Hourglass,Bottoms,Wide belt trousers,Casual
Pear,Tops,Puffed sleeve top,Formal
Rectangle,Tops,Asymmetrical top,Party
Rectangle,Tops,Smocked blouse,Formal
Hourglass,Dresses,Off-shoulder dress,Formal
Hourglass,Bottoms,High-waisted jeans,Formal
Rectangle,Outerwear,Leather jacket,Casual
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Workwear
Hourglass,Outerwear,Fitted blazer,Streetwear
Hourglass,Outerwear,Faux fur coat,Streetwear
Rectangle,Indian Ethnic Wear,Angrakha suit,Workwear
Hourglass,Bottoms,High-waisted jeans,Casual
Rectangle,Indian Ethnic Wear,Layered Anarkali,Streetwear
Apple,Tops,Peplum blouse,Party
Apple,Tops,Empire waist top,Formal
Hourglass,Indian Ethnic Wear,Mermaid-cut lehenga,Casual
Apple,Bottoms,Bootcut jeans,Workwear
Apple,Bottoms,Dark-wash jeans,Workwear
Rectangle,Tops,Belted shirt,Formal
Inverted Triangle,Tops,Wrap top,Streetwear
Inverted Triangle,Tops,Ruched sleeve top,Workwear
Inverted Triangle,Tops,Dolman sleeve blouse,Party
Inverted Triangle,Outerwear,Duster coat,Streetwear
Apple,Indian Ethnic Wear,Lehenga with subtle embroidery,Workwear
Hourglass,Indian Ethnic Wear,Saree with cinched waist,Party
Inverted Triangle,Bottoms,Ruffled hem skirt,Streetwear
Rectangle,Outerwear,Double-breasted coat,Formal
Hourglass,Bottoms,Fitted trousers,Workwear
Apple,Bottoms,Straight-leg trousers,Streetwear
Inverted Triangle,Tops,Ruched sleeve top,Workwear
Hourglass,Bottoms,Pencil skirt,Party
Rectangle,Outerwear,Leather jacket,Streetwear
Apple,Outerwear,Longline blazer,Streetwear
Pear,Dresses,Empire waist dress,Workwear
Pear,Tops,Square-neck top,Workwear
Pear,Indian Ethnic Wear,Straight-cut kurta,Streetwear
Apple,Tops,Flowy tunic,Casual
Pear,Outerwear,Peplum coat,Formal
Apple,Bottoms,Straight-leg trousers,Casual
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Workwear
Hourglass,Bottoms,Pencil skirt,Streetwear
Pear,Bottoms,Wide-leg pants,Streetwear
Rectangle,Indian Ethnic Wear,Saree with belts,Formal
Inverted Triangle,Tops,Ruched sleeve top,Casual
Hourglass,Bottoms,Pencil skirt,Formal
Rectangle,Dresses,Tulle dress,Streetwear
Rectangle,Tops,Smocked blouse,Casual
Inverted Triangle,Tops,Kimono sleeve top,Formal
Apple,Bottoms,A-line skirt,Party
Apple,Bottoms,Dark-wash jeans,Party
Pear,Outerwear,Embellished blazer,Workwear
Inverted Triangle,Outerwear,Unstructured cardigan,Casual
Rectangle,Dresses,Ruched bodycon dress,Streetwear
Hourglass,Outerwear,Belted coat,Formal
Rectangle,Outerwear,Denim trench coat,Formal
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Streetwear
Pear,Bottoms,Bootcut jeans,Workwear
Rectangle,Bottoms,Skinny jeans,Casual
Apple,Outerwear,Belted jacket,Party
Hourglass,Indian Ethnic Wear,Corset-style choli with lehenga,Casual
Apple,Indian Ethnic Wear,Straight-cut salwar suit,Party
Hourglass,Tops,Fitted blouse,Casual
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Casual
Pear,Outerwear,Cropped jacket,Workwear
Rectangle,Indian Ethnic Wear,Saree with belts,Streetwear
Hourglass,Bottoms,Tulip skirt,Formal
Pear,Outerwear,Cape-style coat,Casual
Inverted Triangle,Dresses,Fit-and-flare dress,Casual
Hourglass,Bottoms,Wide belt trousers,Party
Rectangle,Bottoms,Culottes,Party
Rectangle,Bottoms,Pleated skirt,Party
Apple,Bottoms,Straight-leg trousers,Casual
Rectangle,Indian Ethnic Wear,Peplum-style kurta set,Streetwear
Apple,Dresses,Shift dress,Party
Apple,Tops,Wrap top,Formal
Rectangle,Outerwear,Denim trench coat,Party
Apple,Tops,Wrap top,Workwear
Inverted Triangle,Indian Ethnic Wear,Lehenga with flared skirt,Casual
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Formal
Inverted Triangle,Bottoms,Bias-cut midi skirt,Casual
Rectangle,Indian Ethnic Wear,Peplum-style kurta set,Streetwear
Inverted Triangle,Tops,Kimono sleeve top,Workwear
Pear,Tops,Puffed sleeve top,Workwear
Pear,Bottoms,Midi skirt,Formal
Pear,Outerwear,Cape-style coat,Casual
Hourglass,Outerwear,Fitted blazer,Party
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Workwear
Apple,Dresses,A-line dress,Party
Rectangle,Tops,Peplum top,Workwear
Rectangle,Bottoms,Culottes,Workwear
Apple,Outerwear,A-line coat,Formal
Apple,Tops,Wrap top,Casual
Hourglass,Bottoms,Pencil skirt,Party
Pear,Outerwear,Peplum coat,Streetwear
Apple,Tops,Cowl neck top,Streetwear
Pear,Indian Ethnic Wear,Saree with heavy pallu,Streetwear
Hourglass,Outerwear,Faux fur coat,Workwear
